aalib 1.4rc5-18
uchardet 0.0.8-3
udisks2 2.10.1-5
unzip 6.0-22
upower 1.90.9-1
usbmuxd 1.1.1-4
util-linux 2.41-4
util-linux-libs 2.41-4
uv 0.7.12-1
v4l-utils 1.30.1-1
vapoursynth R70-2
vid.stab 1.1.1-2
visual-studio-code-bin 1.100.3-1
vivaldi 7.4.3684.46-1
vmaf 3.0.0-1
volume_key 0.3.12-11
vpl-gpu-rt 25.2.3-1
vulkan-icd-loader 1.4.313.0-1
vulkan-intel 1:25.1.3-2
wavpack 5.8.1-1
waybar 0.12.0-1
wayland 1.23.1-2
wayland-protocols 1.44-1
webkit2gtk-4.1 2.48.3-1
webkitgtk-6.0 2.48.3-1
webp-pixbuf-loader 0.2.7-1
webrtc-audio-processing-1 1.3-5
wf-recorder 0.5.0-2
wget 1.25.0-2
which 2.23-1
wildmidi 0.4.6-1
wireplumber 0.5.10-1
wl-clipboard 1:2.2.1-2
wlogout 1.2.2-0
woff2 1.0.2-6
wofi 1.4.1-1
wpa_supplicant 2:2.11-3
x264 3:0.164.r3108.31e19f9-2
x265 4.0-1
xapp 2.8.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-1
xdg-desktop-portal-gnome 48.0-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.9-9
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.14-1
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1
xkeyboard-config 2.44-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.16-1
xorg-server-common 21.1.16-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.4-1
xorg-xkbcomp 1.4.7-1
xorg-xprop 1.2.8-1
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xwayland 24.1.6-1
xorgproto 2024.1-2
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.1-1
yad 14.1-2
yay-bin 12.5.0-1
yay-bin-debug 12.5.0-1
ydotool 1.0.4-2
yyjson 0.11.1-1
zbar 0.23.93-4
zeromq 4.3.5-2
zimg 3.0.5-1
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.4-1
zstd 1.5.7-2
zvbi 0.2.44-1
zxing-cpp 2.3.0-5
